"Data";"Palmeira";"Altura Palmeira (m)";"Área";"Quadrante";"Número";"Família";"Gênero";"Espécie";"Nome Popular";"Altura (cm)";"Dap (mm)";"Coletada";"Nativa";"Estágio sucessional";"Obs";"Identificação";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Copa";1;"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";;"Nenhuma planta";;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Copa";2;2;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";34;3,00;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Copa";2;3;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";29;4,50;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Copa";2;4;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";58;5,40;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Copa";2;5;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";164;10,80;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Copa";2;6;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";23;3,00;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Copa";2;7;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";39;6,30;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Copa";2;9;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";85;14,20;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Copa";2;10;"Myrtaceae";"Myrciaria";"Myrciaria floribunda";"Pendente";300;32,00;"S";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Copa";3;"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";;"Nenhuma planta";;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Copa";4;11;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";25;5,70;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";1;12;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";87;7,60;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";1;14;"Monimiaceae";"Mollinedia";"Mollinedia schottiana";"Floribunda";59;8,00;"S";"S";"Secundária Tardia";"Mollinedia 2";"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";1;15;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";49;4,80;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";2;16;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";38;3,40;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";2;17;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";72;5,30;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";2;18;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";36;2,60;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";2;19;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";116;7,80;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";2;20;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";32;3,00;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";2;21;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";64;6,20;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";2;22;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";33;2,50;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";2;23;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";64;3,90;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";2;24;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";70;4,00;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";2;25;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";79;12,10;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";3;26;"Arecaceae";"Euterpe";"Euterpe edulis";"Juçara";22;2,40;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";3;27;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";89;8,30;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";3;28;"Myrtaceae";"Myrcia ";"Myrcia tijucensis";"Pendente";20;2,00;"S";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";3;29;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";66;7,30;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";3;30;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";48;6,20;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";3;31;"Arecaceae";"Euterpe";"Euterpe edulis";"Juçara";83;9,90;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";4;32;"Arecaceae";"Euterpe";"Euterpe edulis";"Juçara";137;18,00;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";4;33;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";55;9,20;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;"Externo";4;34;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";47;10,20;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Copa";1;35;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";95;8,30;"S";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Copa";1;36;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";20;4,78;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Copa";2;38;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";45;6,00;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Copa";3;40;"Arecaceae";"Euterpe";"Euterpe edulis";"Juçara";149;14,70;"S";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Copa";3;41;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";42;9,80;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Copa";3;42;"Arecaceae";"Euterpe";"Euterpe edulis";"Juçara";141;25,30;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Copa";4;43;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";185;7,20;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Copa";4;44;"Arecaceae";"Euterpe";"Euterpe edulis";"Juçara";59;7,40;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Copa";4;45;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";58;8,00;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";1;46;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";76;8,20;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";1;47;"Rubiaceae";"Psychotria";"Psychotria suterella";"Pendente";77;41,30;"S";"S";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";1;48;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";42;41,60;"S";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";2;49;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";50;4,90;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";2;50;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";81;7,20;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";2;51;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";79;9,50;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";2;52;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";32;4,10;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";3;53;"Rubiaceae";"Psychotria";"Psychotria suterella";"Pendente";300;48,40;"S";"S";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";3;54;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";35;5,00;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";3;55;"  Nyctaginaceae";"Guapira ";"Guapira opposita";"Maria-mole";300;29,60;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";3;56;"Meliaceae";"Guarea";"Guarea macrophylla";"Camboatá";300;34,90;"S";"S";"Secundária Inicial";"Estágio vide embrapa";"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";4;57;"Meliaceae";"Guarea";"Guarea macrophylla";"Camboatá";38;8,80;"S";"S";"Secundária Inicial";"Estágio vide embrapa";"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";4;58;"Rubiaceae";"Psychotria";"Psychotria suterella";"Pendente";57;4,30;"S";"S";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";4;59;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";5;10,20;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;"Externo";4;60;"Arecaceae";"Euterpe";"Euterpe edulis";"Juçara";20;4,30;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Copa";1;61;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";20;2,60;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Copa";1;62;"Rosaceae";"Prunus";"Prunus myrtifolia";"Pendente";48;2,70;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Copa";2;"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";;;;;;;;;;;;;;;;;;;;;;;;
