Data;Palmeira;Altura Palmeira (m);Área;Quadrante;Número;Família;Gênero;Espécie;Altura (cm);Dap (mm);Coletada;Nativa;Estágio sucessional;Obs;Identificação
7/2/2020;6;6;Copa;1;4763;Sapindaceae;Cupania;Cupania oblongifolia;22;3,47;S;S;Secundária Inicial;;OK
7/2/2020;6;6;Copa;2;NA;NA;NA;NA;;;;NA;NA;;NA
7/2/2020;6;6;Copa;3;NA;NA;NA;NA;;;;NA;NA;;NA
7/2/2020;6;6;Copa;4;4765;Meliaceae;Guarea;Guarea macrophylla;27;4,43;N;S;Secundária Inicial;;OK
7/2/2020;6;6;Copa;4;4767;Sapindaceae;Cupania;Cupania oblongifolia;20;3;S;S;Secundária Inicial;;OK
7/2/2020;6;6;Externo;1;4769;Rubiaceae;Coffea;Coffea arabica;195;24,8;N;N;Umbrófila;;OK
7/2/2020;6;6;Externo;1;4770;Pendente;Pendente;Pendente;44;5,07;S;;;;
7/2/2020;6;6;Externo;1;4771;Rubiaceae;Psychotria;Psychotria suterella;20;3,58;N;S;Umbrófila;;OK
7/2/2020;6;6;Externo;1;4772;Sapindaceae;Cupania;Cupania oblongifolia;37;4,54;N;S;Secundária Inicial;;OK
7/2/2020;6;6;Externo;1;4773;Monimiaceae ;Mollinedia;Mollinedia uleana;58;10,8;S;S;Secundária Tardia;;OK
7/2/2020;6;6;Externo;2;4774;Sapindaceae;Allophylus ;Allophylus edulis;400;45,4;S;S;Secundária Inicial;idem 4774;OK
7/2/2020;6;6;Externo;2;4775;Rubiaceae;Coffea;Coffea arabica;48;4,38;N;N;Umbrófila;;OK
7/2/2020;6;6;Externo;2;4776;Solanaceae;Solanum ;Solanum sp;33;5,15;S;;Não Classificada;Solanum diploconos ou pinetorium;Confirmar
7/2/2020;6;6;Externo;2;4778;Monimiaceae ;Mollinedia;Mollinedia uleana;160;20,2;S;S;Secundária Tardia;;OK
7/2/2020;6;6;Externo;2;4779;Arecaceae;Euterpe;Euterpe edulis;34;5,92;N;S;Secundária Tardia;;OK
7/2/2020;6;6;Externo;2;4780;Pendente;Pendente;Pendente;32;6,6;S;;;Nyctaginaceae (psionia?) ou daphinapsis;
7/2/2020;6;6;Externo;3;4781;Moraceae;Ficus;Ficus obtusifolia;180;29,3;S;S;Não Classificada;luschnathiana;
7/2/2020;6;6;Externo;3;4782;Arecaceae;Archontophoenix;Archontophoenix cunninghamiana;24;4,06;N;N;Não Classificada;;OK
7/2/2020;6;6;Externo;3;4783;Arecaceae;Euterpe;Euterpe edulis;150;28,4;N;S;Secundária Tardia;;OK
7/2/2020;6;6;Externo;3;4785;Arecaceae;Euterpe;Euterpe edulis;33;6,58;N;S;Secundária Tardia;;OK
7/2/2020;6;6;Externo;4;4786;Elaeocarpaceae ;Sloanea;Sloanea guianensis;100;10,56;S;S;Não Classificada;;
7/2/2020;6;6;Externo;4;4787;Sapindaceae ;Allophylus ;Allophylus edulis;26;3,3;S;S;Secundária Inicial;idem 4788;OK
