Data;Palmeira;Altura Palmeira (m);Área;Quadrante;Número;Família;Gênero;Espécie;Altura (cm);Dap (mm);Nativa;Estágio sucessional;Obs;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Copa;1;4763;Sapindaceae;Cupania;Cupania oblongifolia;22;3,47;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Copa;2;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Copa;3;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Copa;4;4765;Meliaceae;Guarea;Guarea macrophylla;27;4,43;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Copa;4;4767;Sapindaceae;Cupania;Cupania oblongifolia;20;3;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;1;4769;Rubiaceae;Coffea;Coffea arabica;195;24,8;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;1;4770;Indeterminada 6;Indeterminada 6;Indeterminada 6;44;5,07;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;1;4771;Rubiaceae;Psychotria;Psychotria suterella;20;3,58;S;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;1;4772;Sapindaceae;Cupania;Cupania oblongifolia;37;4,54;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;1;4773;Monimiaceae ;Mollinedia;Mollinedia uleana;58;10,8;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;2;4774;Sapindaceae;Allophylus ;Allophylus edulis;400;45,4;S;Secundária Inicial;idem 4774;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;2;4775;Rubiaceae;Coffea;Coffea arabica;48;4,38;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;2;4778;Monimiaceae ;Mollinedia;Mollinedia uleana;160;20,2;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;2;4779;Arecaceae;Euterpe;Euterpe edulis;34;5,92;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;2;4780;Indeterminada 8;Indeterminada 8;Indeterminada 8;32;6,6;N/A;Não Classificada;Nyctaginaceae (psionia?);;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;3;4781;Moraceae;Ficus;Ficus sp;180;29,3;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;3;4782;Arecaceae;Archontophoenix;Archontophoenix cunninghamiana;24;4,06;N;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;3;4783;Arecaceae;Euterpe;Euterpe edulis;150;28,4;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;3;4785;Arecaceae;Euterpe;Euterpe edulis;33;6,58;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;4;4786;Elaeocarpaceae ;Sloanea;Sloanea hirsuta;100;10,56;S;Secundária Tardia;"BARRETTO, E.H.P; CATHARINO, E.L.M.";;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;4;4787;Sapindaceae ;Allophylus ;Allophylus edulis;26;3,3;S;Secundária Inicial;idem 4788;;;;;;;;;;;;;;;;;;;;;
