Data;Palmeira;Altura Palmeira (m);Área;Quadrante;Número;Família;Gênero;Espécie;Altura (cm);Dap (mm);Coletada;Nativa;Estágio sucessional;Obs;Identificação
29/11/2019;1;3;Copa;1;NA;NA;NA;NA;NA;NA;NA;NA;;Nenhuma planta;
29/11/2019;1;3;Copa;2;2;Rubiaceae;Coffea ;Coffea arabica;34;3;N;N;Umbrófila;;OK
29/11/2019;1;3;Copa;2;3;Rubiaceae;Coffea ;Coffea arabica;29;4,5;N;N;Umbrófila;;OK
29/11/2019;1;3;Copa;2;4;Sapindaceae;Cupania;Cupania oblongifolia;58;5,4;N;S;Secundária Inicial;;OK
29/11/2019;1;3;Copa;2;5;Sapindaceae;Cupania;Cupania oblongifolia;164;10,8;N;S;Secundária Inicial;;OK
29/11/2019;1;3;Copa;2;6;Rubiaceae;Coffea ;Coffea arabica;23;3;N;N;Umbrófila;;OK
29/11/2019;1;3;Copa;2;7;Sapindaceae;Cupania;Cupania oblongifolia;39;6,3;N;S;Secundária Inicial;;OK
29/11/2019;1;3;Copa;2;9;Rubiaceae;Coffea ;Coffea arabica;85;14,2;N;N;Umbrófila;;OK
29/11/2019;1;3;Copa;2;10;Myrtaceae;Myrciaria;Myrciaria floribunda;300;32;S;S;Secundária Tardia;;OK
29/11/2019;1;3;Copa;3;NA;NA;NA;NA;NA;NA;NA;NA;;Nenhuma planta;
29/11/2019;1;3;Copa;4;11;Sapindaceae;Cupania;Cupania oblongifolia;25;5,7;N;S;Secundária Inicial;;OK
29/11/2019;1;3;Externo;1;12;Rubiaceae;Coffea ;Coffea arabica;87;7,6;N;N;Umbrófila;;OK
29/11/2019;1;3;Externo;1;14;Monimiaceae;Mollinedia;Mollinedia schottiana;59;8;S;S;Secundária Tardia;Mollinedia 2;OK
29/11/2019;1;3;Externo;1;15;Sapindaceae;Cupania;Cupania oblongifolia;49;4,8;N;S;Secundária Inicial;;OK
29/11/2019;1;3;Externo;2;16;Rubiaceae;Coffea ;Coffea arabica;38;3,4;N;N;Umbrófila;;OK
29/11/2019;1;3;Externo;2;17;Rubiaceae;Coffea ;Coffea arabica;72;5,3;N;N;Umbrófila;;OK
29/11/2019;1;3;Externo;2;18;Rubiaceae;Coffea ;Coffea arabica;36;2,6;N;N;Umbrófila;;OK
29/11/2019;1;3;Externo;2;19;Rubiaceae;Coffea ;Coffea arabica;116;7,8;N;N;Umbrófila;;OK
29/11/2019;1;3;Externo;2;20;Rubiaceae;Coffea ;Coffea arabica;32;3;N;N;Umbrófila;;OK
29/11/2019;1;3;Externo;2;21;Rubiaceae;Coffea ;Coffea arabica;64;6,2;N;N;Umbrófila;;OK
29/11/2019;1;3;Externo;2;22;Rubiaceae;Coffea ;Coffea arabica;33;2,5;N;N;Umbrófila;;OK
29/11/2019;1;3;Externo;2;23;Rubiaceae;Coffea ;Coffea arabica;64;3,9;N;N;Umbrófila;;OK
29/11/2019;1;3;Externo;2;24;Rubiaceae;Coffea ;Coffea arabica;70;4;N;N;Umbrófila;;OK
29/11/2019;1;3;Externo;2;25;Sapindaceae;Cupania;Cupania oblongifolia;79;12,1;N;S;Secundária Inicial;;OK
29/11/2019;1;3;Externo;3;26;Arecaceae;Euterpe;Euterpe edulis;22;2,4;N;S;Secundária Tardia;;OK
29/11/2019;1;3;Externo;3;27;Sapindaceae;Cupania;Cupania oblongifolia;89;8,3;N;S;Secundária Inicial;;OK
29/11/2019;1;3;Externo;3;28;Myrtaceae;Myrcia ;Myrcia tijucensis;20;2;S;S;Secundária Tardia;;OK
29/11/2019;1;3;Externo;3;29;Sapindaceae;Cupania;Cupania oblongifolia;66;7,3;N;S;Secundária Inicial;;OK
29/11/2019;1;3;Externo;3;30;Sapindaceae;Cupania;Cupania oblongifolia;48;6,2;N;S;Secundária Inicial;;OK
29/11/2019;1;3;Externo;3;31;Arecaceae;Euterpe;Euterpe edulis;83;9,9;N;S;Secundária Tardia;;OK
29/11/2019;1;3;Externo;4;32;Arecaceae;Euterpe;Euterpe edulis;137;18;N;S;Secundária Tardia;;OK
